sample,vdjbase_name,new_name
125_13,P37_I01_S01,I01
133_13,P37_I02_S02,I02
13D132,P37_I03_S03,I03
146_13,P37_I04_S04,I04
15C172,P37_I05_S05,I05
174-13,P37_I06_S06,I06
194_13,P37_I07_S07,I07
275_12,P37_I08_S08,I08
315_04,P37_I09_S09,I09
33967,P37_I10_S10,I10
6S0,P37_I11_S11,I11
DHIC,P37_I12_S12,I12
K397,P37_I13_S13,I13
K410,P37_I14_S14,I14
K916,P37_I15_S15,I15
L211,P37_I16_S16,I16
M21,P37_I17_S17,I17
MA277,P37_I18_S18,I18
O3J,P37_I19_S19,I19
RAi15,P37_I20_S20,I20
RBj16,P37_I21_S21,I21
RBo18,P37_I22_S22,I22
RBr15,P37_I23_S23,I23
RBw15,P37_I24_S24,I24
RCj20,P37_I25_S25,I25
RCn18,P37_I26_S26,I26
RCp16,P37_I27_S27,I27
RCs15,P37_I28_S28,I28
RCv16,P37_I29_S29,I29
RCz16,P37_I30_S30,I30
RDe18,P37_I31_S31,I31
RDq15,P37_I32_S32,I32
RDr15,P37_I33_S33,I33
RDt18,P37_I34_S34,I34
REk15,P37_I35_S35,I35
RFj17,P37_I36_S36,I36
RFq19,P37_I37_S37,I37
RFr13,P37_I38_S38,I38
RGi17,P37_I39_S39,I39
RGq13,P37_I40_S40,I40
RGr15,P37_I41_S41,I41
RGt19,P37_I42_S42,I42
RGw18,P37_I43_S43,I43
RHe16,P37_I44_S44,I44
RHu20,P37_I45_S45,I45
RIb18,P37_I46_S46,I46
RIr15,P37_I47_S47,I47
RIy10,P37_I48_S48,I48
RJb19,P37_I49_S49,I49
RJs14,P37_I50_S50,I50
RJv17,P37_I51_S51,I51
RKb19,P37_I52_S52,I52
RKq18,P37_I53_S53,I53
RLf17,P37_I54_S54,I54
RLi17,P37_I55_S55,I55
RLi18,P37_I56_S56,I56
RLk15,P37_I57_S57,I57
RLk17,P37_I58_S58,I58
RLs14,P37_I59_S59,I59
RLw17,P37_I60_S60,I60
RNo15,P37_I61_S61,I61
ROa17,P37_I62_S62,I62
ROi16,P37_I63_S63,I63
ROi17,P37_I64_S64,I64
ROv16,P37_I65_S65,I65
RPe16,P37_I66_S66,I66
RPh17,P37_I67_S67,I67
RPs18,P37_I68_S68,I68
RPw17,P37_I69_S69,I69
RPz16,P37_I70_S70,I70
RQa19,P37_I71_S71,I71
RQh20,P37_I72_S72,I72
RQp17,P37_I73_S73,I73
RQr11,P37_I74_S74,I74
RQr20,P37_I75_S75,I75
RQw15,P37_I76_S76,I76
RRb11,P37_I77_S77,I77
RRb17,P37_I78_S78,I78
RRb19,P37_I79_S79,I79
RRr14,P37_I80_S80,I80
RRt20,P37_I81_S81,I81
RRv14,P37_I82_S82,I82
RSb17,P37_I83_S83,I83
RSf16,P37_I84_S84,I84
RSo20,P37_I85_S85,I85
RSq16,P37_I86_S86,I86
RSq17,P37_I87_S87,I87
RTe17,P37_I88_S88,I88
RTm17,P37_I89_S89,I89
RTo20,P37_I90_S90,I90
RTt13,P37_I91_S91,I91
RUg16,P37_I92_S92,I92
RUL20,P37_I93_S93,I93
RUp16,P37_I94_S94,I94
RVe17,P37_I95_S95,I95
RVh17,P37_I96_S96,I96
RVi14,P37_I97_S97,I97
RVn17,P37_I98_S98,I98
RVu20,P37_I99_S99,I99
RWb17,P37_I100_S100,I100
RWc20,P37_I101_S101,I101
RWq18,P37_I102_S102,I102
RYf17,P37_I103_S103,I103
RYk15,P37_I104_S104,I104
RYL18,P37_I105_S105,I105
RYs15,P37_I106_S106,I106
